web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1567324855-62","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","BOMBAY prince","Where were you all my life.","February 7, 2019","Product is mind blowing. I installed on two iPad. Installs with such a ease. No bubbles whatsoever.
Don’t be a fool by dropping down and think you got it.
Instead let it down from one end and let the product do the rest.
If you see bubble take the provided plastic white piece and squeeze the bubble out. Then put some heat from your thumb right on that dot and wallah all done.
Please don’t let NEGATIVE reviews bother you. Simply because if you don’t know so do they. If you will mess it up so did they.
If I can do it then so can you. I also added these cases to my iPad. By Fintie USA. Truly amazing product.
Glass screen and cases are like gloves fit to
Blue is current iPad
Flower is the iPad Air.
I love it and so will you.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1567324868-96","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","eugenes70","Dissapointed! for the lack of a better word","March 3, 2019","I don't have a habit writing bad reviews, unless it's worth it . Installed tons of screen protectors on tablets, smartphones, laptops, etc. I always read reviews before buying on Amazon. Some people were complaining about that particular screen protector, mentioned it cracked on arrival or during installation. I thought it wouldn't happen to me. Well, it did not happened on arrival, it did happened during installation, even I did everything by the book. I guess, it is my fault. Too bad! Ordered another from different vendor. 2(two) for the same total price I paid for  Sparin Tempered protector.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1567324914-175","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Flipdude","Easy to install and nice tempered glass!","June 20, 2019","This screen protector is so easy to install and it’s tempered glass. Since my iPad was new, I didn’t have to clean the screen so much. I just used the dust grabber sticker to get some specks of dust off the screen. After peeling off the backing, I let the protector down on the screen and it just did it’s own thing and adhered to the screen with some minor bubbles that were easy to take out. All in all, the screen protector worked great and I installed on 2 of my kids iPads as well!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1567324872-104","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gorgeousdevil","Broken several times and that's FANTASTIC","July 12, 2019","We put this screen protector on a five year old's iPad when we got it.  In the seven months he's had it, it's been dropped many times.  The case it was in helped, but several of those drops still resulted in cracks in this screen protector.  We just removed the protector (it came off easily despite having many cracks) and found that the screen underneath was completely undamaged.  This protector did it's job and did it well, sacrificing itself to protect the much more valuable iPad underneath.  I couldn't ask for more and just ordered another one.  I've also replaced the case with one that should, hopefully, provide much better protection against drops.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1567324889-140","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Great protector","January 4, 2019","I will start this with saying I hate screen protectors, usually. I don’t usually use one on my phone, because they are hard to install getting them lined right without any dust underneath.
  I decided to try this one for our new iPad since the kids will be using it a lot. This was super easy to install and it is crystal clear. With a case on there also you can’t even tell that there is even a screen protector on the iPad. I was wondering about if it would be too thick, but the case fit just fine with it on there.
  The touch sensitivity seems to work perfectly with it installed.
  The process they give you to install it works great if you follow the directions to the letter.
  I can’t comment fully on the durability yet but it should be fine. Better than not using one.
  I would recommend this brand 100%. I’m thinking of ordering one for my iPhone.
EDIT: I just ordered a second one of these. This was amazing. One of my children pushed the other while they were holding the iPad. They fell and elbow dropped the screen. The protector did crack but it completely protected the iPad screen. No damage. I couldn’t believe it. Worked awesome.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1567324838-37","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jevon Young","Vendor has graciously offered to replace this item free of charge.","November 4, 2016","UPDATE: SPARIN reached out to me quickly to replace the screen protector with a 100% discount code. Good customer service, hopefully the issue I had was a one-off, will report back with update once it is received.

INITIAL REVIEW: Initially I was quite pleased with this screen protector. Much better price than the ones I looked at in stores, sturdy packaging, and reasonably easy to apply following the diagram-based instructions. However, it has since started to peel up in the lower corner. At first it was just at the very edge, but now there is a five or six square inch section that is no longer contacting the screen. I am very careful with my electronics (and have only logged a few dozen hours on this iPad), and have not tested the protective features of this product, so my low scoring review is based simply upon aesthetic dissatisfaction. iPad Pro 9.7 Screen Protector, SPARIN [Tempered Glass] [.3mm / 2.5D] [Ultra Clear High Definition] Screen Protector for iPad Air, iPad Air 2, iPad Pro 9.7 inch (2016 Version),","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1567324900-153","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","cappijojo","Not Happy","March 5, 2018","This is a recap of my first review.  Sparin’s customer service rep contacted me and wants to make this right and will be sending me a replacement.  Great customer service, once I receive the replacement I will come back and edit my comment and give it a five star, if all goes well.

I picked this product because of all the reviews, but I am not happy with it.  I can’t get out the bubbles, i cleaned the screen reinstalled it still lots of bubbles on the screen.  Unfortunately you only get one android  can’t try with another protector.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1567324855-64","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","S & B Cason","Bummed out ☹️","July 8, 2017","Bought this screen protector because of all the raitings and how durable it was suppose to be. It hasn't been a month (1 week to be exactly) and it has a huge crack in it that is spreading. My iPad hasn't fallen, been smushed or anything. I'm pretty bummed.
The crack turned into two! Waste of money! Don't buy.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1567324939-213","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tristan","I was worried this was going to be thick and ...","June 16, 2017","I was worried this was going to be thick and interfere with the touch screen or make the tablet bulky, but even though this is tempered glass, it is as thin (and floppy) as the plastic protectors I'm used to using on my phone screens.

I was under the impression this would help reduce glare, but it does not. It does seem to be slightly finger print resistant, but it doesn't really prevent fingerprints to a large degree. This is not really a problem, though.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1567324900-160","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","nozama","Easy to install, air bubble out by natural way","March 9, 2019","It is easy to install -
1) Let the bottom part of the screen protector touch Ipad's bottom part of the screen edge
2) Align the home button circle with the screen protector hole
3) While still lifting the top two corners, try to align top corners
4) Gradually lower down the top corners which are being hold by two hands
5) If it doesn't fit the corner, lift your hands to re-position gently. It is very easy to come out.
6) If every corners are aligned properly let go of the two top corners
7) While you are letting go of the two corners, you will see air escaping from the protector. This is the most enjoyable moment :)
Good Luck!!!
Note: The above procedure was done on a brand new, out of box unit. Cleaning before installing is important. So make sure the surface is free from lints and grease. There are plenty of small particle in the air that might fall on the surface to cause the air bubble!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1567324933-201","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mainette B.","Don't hesitate...buy this product from this seller!","June 7, 2017","I don't normally write reviews, but I just had to take a minute to let you all know how wonderful this product and this seller is. This is a beautiful tempered glass that fits on my iPad Pro 9.7"". It does not impede the sensitivity of the screen. The slightest touch of my fingers transfers right through this glass. My iPencil also works flawlessly as if there was no glass cover. Since it is tempered glass, there is no scratch marks or clouding of this screen protector.

The company is also a joy to work with. I need to have a replacement sent for my husbands glass. He's so cute, but not well trained. All I had to do was email the seller with my request. They answered me immediately! Asked a few questions, and then sent out the new one. The whole process took less than 5 days! That is what I call awesome customer service!

I will always order screen protectors from this seller. I was not paid for my opinion. I'm just a very impressed amazon customer.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews"
"1567324955-241","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","CSD","Excellent customer service","February 7, 2018","Great customer service.  Here’s the story:  Received item. Went to install and the “dust remover” was missing.  Installed anyway. It went as described but had a spot of dust was under the screen.  Tried to remove with cloth but it just made it worse. The screen cracked in the process.  I contacted the seller with what happened and was shipped a replacement at no cost.  All of the needed items were in the replacement.  The screen installed perfectly with one speck of dust under screen.  The “dust remover” was used and worked perfect.  Very happy with the product.  Just follow the instructions and watch the YouTube video.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1567325021-352","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","kim smith","Easy to install and worth every penny","August 16, 2018","So I don’t normally leave reviews, but this product was so good I simply had to. To start, the product comes in a fantastic package with everything you will need to get the job done! Inside the package is a little instructional manual that gives you the link to the YouTube video for those of you like me and aren’t very good at placing screens. The video was literally step by step simple and easy steps that left me feeling confident I wouldn’t jack this up. I followed the video exactly and I have to be honest, this is one of the best proctective screens on any of my devices. It installed so easily and so perfect. No lint, dust, or air bubbles. You can’t even tell it’s there!! I would highly recommend this product to anyone considering buying it, and am also going to buy more for my other devices!! Definitely a 5 star product!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1567324884-126","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Naturephotoguy","Ignore dust particle unless you are OCD","February 23, 2019","Followed installation instructions exactly, but discovered a dust particle that my meticulous (or so I thought) pre-cleaning failed to remove after the protector was in place. I thought it would drive me nuts, but the adhesive closed around the dust particle so that unless I'm actively looking for it, it's unnoticeable. Reading the experiences of other users also convinced me that trying to remove the particle would be worse than just leaving it alone. Screen has a great feel to it and is nearly as sensitive to touch as the unprotected screen. Color me satisfied. Love that the bottom button is left uncovered so that fingerprint ID works.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1567324859-77","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","John Vasi","Read all instructions first.","September 6, 2017","I had some problems with the installation because I went step by step and made some assumptions about what to do.  By the time I got to step 5 or so, I realized that what I did earlier (removed the protective film) was a mistake.  Therefore, I got dust, etc. between the new protective screen and my iPad.  Even the smallest mote of dust causes a bubble where the protective screen does not adhere properly.  I screwed around for 10-15 minutes until I got passable results.  Was I to blame?  Partly, but the instruction could definitely be better. Or I should have read through all the instructions before I started.  Also, I'm not sure what I expected, but this screen protector is labeled ""tempered glass"".  It's a piece of plastic--like other screen protectors I've purchased.  It seems to be good quality, but unless tempered glass is now flexible, this does not seem like glass to me.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1567325017-344","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ted Plaza","Challenging and Poor Craftsmanship","March 26, 2018","A little challenging to install even with the instructions and video recommended. I hope the bubble goes away.  Admittedly some user error but also not easy to install.

UPDATE:  Bubbles multiplying and just not that great of quality.  The company wants me to buy another and refund new order.  They will not (or as they explained) outright replace because of Amazon Policy. For final resolution I was given a refund for the product I originally purchased by Amazon Seller - iMaxas","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews"
"1567324889-137","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kd","iPad screen protector","March 5, 2018","Watched install video online,several times. Still have problems. This product seems a little sticker than the other brand i put on my old iPad.
Think with it beening sticker, harder to get air bubbles out. Tried several times,got it to look ok. Next time going back to other brand I used.
Tried this one, because it was  #1 recommended.

Update. I was contacted by the seller, guess they read my review. They wanted me to be completely satisfied , so they sent me another
screen protector , no charge. Haven’t have time to install it yet. Will review the you tube install  videos again. Just want to say this company is committed on keeping the customer satisfied by backing up their product. Great customer service. 👍😎","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1567324945-224","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Typical protector","April 22, 2018","This is a typical self-sticking screen protector.  Nothing too great or too bad.  While obviously you have to be very careful with dust, the only other practical advice I have is to use all three stickers as a hinge because two stickers alone are not sticky enough to keep hold of the protector when you are peeling off the film.  Peel even a little too fast and the ""sticker hinge"" will let go of the protector.  I haven't had it long enough to judge the actual efficacy of the glass protector itself.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1567324907-161","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","StevenJens","Seamlessly works! Comes with cleaning products before application. iPad looks great as ever.","February 22, 2017","Great product! The tempered glass covers the entire front of the iPad, but it does not look intrusive. In fact, if it's applied correctly, the protective cover seamlessly integrates well with the product.

I love how the product comes with a wet wipe, dry wipe, microfiber cloth and a dust remover. Using them in that order ensures that your original screen is clean, and the screen protector will look 100% transparent after application.

The product came with some ""GuideStickers"" to help you make a hinge and apply the protective screen easier. I found this not to be very helpful as the stickers kept coming off. I ended up grabbing the screen on its side, without touching the side that contacts with the iPad screen, and applied it manually.

Some negative reviews claim that they have unremovable bubbles after applying the cover. I think this is careless application on their part. If you are careful, you can ensure that there are no bubbles after application. The best way to prevent any potential bubbles is to make sure that the protective screen is placed starting from one edge and finishing of to another edge. I found that bending the protective screen ensured this edge-to-edge placement. In essence, you want to displace all of the air so that there is no gap between your iPad screen and the protective glass cover.

See the attached picture to see how it looks if done properly! The protective screen certainly looks like it's meant to be part of the iPad and I don't see any visual change in terms of viewing quality.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1567324805-1","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Brian Lev","Not Perfect but Packaged Well, Excellent Installation Kit, Excellent Customer Service","January 11, 2018","UPDATE:  I've added 2 stars to my original review. A few days after I posted a 3-star review complaining about an apparent quality control issue (particulate matter stuck to underside of the protector *inside* the protective sheet), I received a direct email from a company representative apologizing for the problem and offering a free replacement. I was very busy & didn't respond to the email at first, so I received a 2nd email with the same offer a couple of days later. I emailed back, verified my shipping address, and a few days later a new package was on my front porch. I waited overnight for it to warm up to room temperature, removed the defective protector from the iPad, and installed the new protector after very, VERY carefully inspecting it and using the installation kit to clean the iPad's screen. There were no adhesion problems, very few bubbles (all of which were easily cleared in a matter of moments), and only one tiny imperfection that is literally invisible without a magnifying glass and a careful search. I am very pleased with the replacement product and happily shocked at the exemplary customer service. (To repeat, the company contacted me with an apology & no-strings-attached replacement before I had the chance to contact them.) As of now, I'll definitely buy from them again as needed in the future.

One quick note: As mentioned in my original review, there are stick-on tabs to create a ""hinge"" to help position the screen protector prior to installation. This time around I did not use them and found it easier to carefully position the screen protector the old-fashioned way. If you buy this product I recommend practice fitting the protector (BEFORE removing the film covering the adhesive!) with the hinges so you can tell if it would be easier for you to place it correctly with or without them -- I'm sure the choice will vary among buyers.

ORIGINAL REVIEW: I've used tempered glass screen protectors on a variety of devices, and the reviews of this one led to high expectations. I was amazed at how well-packaged it is: a semi-rigid heavy cardboard ""book"" style folder, with a separate ""installation kit"" inside along with the screen protector itself in a protective sleeve and an internal frame keeping everything in place & protected.

Unlike my experience with several other similar (smaller) protectors of other brands, the installation kit was complete and -- hooray! -- the ""wet"" wipe was actually wet. (Be careful opening the installation kit; I accidentally tore off a small part of the instruction booklet.) The first thing I noticed was more complete/complex instructions than I'd expected, along with a note saying I should view an instructional video on YouTube. The video came up right where it was supposed to be, but I immediately noticed that it skipped over 1 step in the printed directions (use the dry wipe after the wet wipe but before the microfiber cloth), and did not show or mention the stiff card (size of a credit card) intended to help move bubbles out from under the screen protector as the final installation step.

One very helpful feature of the installation kit was ""hinge"" stickers that let you pre-position the protector and then swing it out of the way to thoroughly clean the iPad screen, then just swing it back into place for installation already in the correct position... at least in theory. I still had to be very careful positioning the protector because the stickers still allow a bit more side-to-side wiggle than is perhaps absolutely necessary. It was when the protector was in place and beginning to adhere to the iPad screen when things went a bit sour.

Before using the installation kit, I had buffed the iPad with a clean microfiber cloth until it shined. I then used the installation kit's wet wipe, making sure to cover every tiny bit of the surface, followed by careful wiping with the kit's dry wipe. I then buffed the iPad with the microfiber cloth from the installation kit, followed by the included ""dust absorber"" (a big sticker you lightly tap all over the screen to pull off any dust particles that somehow were missed in all the preceding steps). At every step, I carefully inspected the iPad for dust, fingerprints, and any other kind of marking, checking it at multiple angles in direct & indirect lighting. (I can be a little obsessive when it comes to screen protectors.) I checked the screen protector one more time at different angles, and saw a few little spots I decided were probably dirt on the protective film. I then peeled the protective film off the back of the screen protector, swung it down onto the iPad, and began pressing out a few bubbles...

...only to find 7-8 bits of kind of particulate matter causing permanent bubbles scattered across the screen (not to mention the entire upper left 1/8 of the screen protector not sticking nearly as well as the rest of it). I peeled the protector back, did some more cleaning, reapplied the protector, and had the same particles in the same spots. I then very gently used the ""dust absorber"" directly on the sticky side of the screen protector and reapplied it for a second time, and was rewarded with just a few small bubbles I was able to manipulate out.

As of now, the upper left 1/8 of the screen protector seems to be sitting on the iPad screen and not actually adhering to it (that's 1 star off), and I'm a bit annoyed at how I had to clean particulate matter off the supposedly clean & protected *sticky* side of the screen protector (that's the 2nd star off). For the moment it seems to be staying in place & remaining clean, but I'll have to think twice about another of the same brand in the future.","5.0 out of 5 stars","",""
"1567324939-217","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","I agree with others the video is your best form of instructions it gets right to the point","March 5, 2017","I agree with others the video is your best form of instructions it gets right to the point, and the guide stickers aren't really needed. Also when trying to readjust the bottom of the screen protector during the install I noticed a small chip in the corner (didn't seem like it would be a big deal) but In that same spot is a huge bubble that will not go away. As I use the iPad the bubble tends to spread and get worse. Not happy due to this but I'm sure if my item wasn't defected I would give 5 stars. Going to contact seller to get a refund","3.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1567324868-98","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Michael K.","Easy installation","December 30, 2016","Installation was easy on my iPad Pro 9.7, I just followed the video instructions and it went well. The screen seems real clear and my I Pencil works as it did on just the screen. I can't comment on durability as it's been on for a day. 1 year later, I dropped my iPad on gravel from 5 feet, screen protector cracked, contacted Sparin, they sent me a new one per warranty. iPad screen was saved, not a scratch on it. Wonderful quick service and the product worked to protect the iPad screen. Pictures are of the cracked screen protector after I dropped the iPad, again, the iPad screen was saved by the Sparin screen protector, it worked great. I will buy their products in the future.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1567324914-177","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","L. J. Werbick","Good for the price, Great Customer Service.","June 25, 2017","Installation was easy and they include some directions and stickers to help apply it if needed (I found it easier to just line up the button hole and the edges and then drop a corner...the seal crawled across the screen and had no bubbles.

-1 star because it cracked in the middle in the first month while being used by a 6 year-old using her fingers to draw on it.  (no impacts or anything smacking the screen).

Plus side:  The vendor (SPARIN) offered to replace it for free after getting the details on what happened.  Replacement showed up a day later and is good so far.  Will update the review later if there are any further issues.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1567324893-147","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jennifer","Durable once installed.","April 5, 2019",". Love this screen protector. Had two for iPad 2gen. Bought this one for new iPad. Installed it perfectly this time : Home button hole and no bubbles. If you have not installed a screen protector, follow the instructions! And gently take your time.  Most likely will get several bubbles. Use the included cloth under your thumb and (sort of) firmly push on backside of bubble toward the edge. Be patient and keep working it to the edge. Took my time doing this. DONT LIFT THE PROTECTOR.  I bought an Apple pencil. Haven’t used it yet so can’t comment on how surface holds up with pencil usage.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1567324983-282","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Legend9Nine","Best I've ever used!","April 1, 2017","Over the years I've installed many screen protectors for phones and tablets. This I'd the first one I've installed with absolutely no bubbles or any type of problems with adhesion. I was very careful as usual in getting the screen as clean as possible, and when I removed the backing the protector just popped right on. I had to squeegee out one large bubble at the edge, but that was all. Recommend highly.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1567324989-298","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","hellion","Quality product, but if you’ve installed these before, don’t follow the directions.","May 8, 2018","Packaging was excellent, and the product is what you should expect. I ordered two, for two different iPads. I suggest test fitting and not using the supplied sticker hinge method. When using the afore metioned method on the first iPad, when it came time to pull the protective film off, despite going slow and careful, it pulled the glass off the “hinges”. I understand that the stickers are intentionally only moderately sticky, however this lead to me having to freestyle install it anyway, which lead to some dust in a corner that will not seat properly. I’ll be ordering another to replace it.

The second install on the second iPad, I guided the glass down with the stickers myself, taking my time, and the installation was flawless.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1567324983-285","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nicole PC","Great great product. Definitely worth it","March 7, 2018","I was a little hesitant at first because I’ve never heard of this company before but it was a decent price and had pretty good ratings.
I’m so glad I did.
The packaging it came in was grade A. Nice durable cardboard like box that would prevent the glass from breaking.
Now I usually suck at putting these things on but the instructions were super easy and actually doing it was even easier. All the tools are provided for you to have a perfect application.
I am definitely very pleased and will definitely purchase more from them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
